MGID,GHID,MXSineMax,MYSineMax,MXAcelMax,MYAcelMax,MZAcelMax,MXSineAvg,MYSineAvg,MXAcelAvg,MYAcelAvg,MZAcelAvg,MXSineMin,MYSineMin,MXAcelMin,MYAcelMin,MZAcelMin,MTime
8628,7,2.44E-02,3.16E-02,-2.07E-02,-7.04E-03,-3.70E-03,0.018352,2.41E-02,-2.22E-02,-9.12E-03,-5.62E-03,0.010257,1.48E-02,-2.37E-02,-1.07E-02,-7.41E-03,34:09.0
8629,5,1.66E-02,0.012655,9.63E-03,-1.33E-02,3.70E-04,7.27E-03,0.003882,8.44E-03,-1.52E-02,-0.001611,-1.86E-03,-4.66E-03,7.04E-03,-0.017037,-0.003333,34:31.7
8630,6,0.018414,2.96E-02,-0.026667,-1.85E-02,-6.67E-03,8.31E-03,1.89E-02,-2.80E-02,-0.02036,-8.30E-03,-0.001139,5.96E-03,-0.029259,-2.22E-02,-0.01,34:32.1
8631,8,2.84E-02,3.16E-02,-0.003333,5.41E-02,3.70E-04,1.83E-02,2.03E-02,-4.46E-03,5.24E-02,-1.13E-03,7.90E-03,0.011407,-5.93E-03,5.04E-02,-2.96E-03,35:43.4
8632,7,2.60E-02,3.37E-02,-2.11E-02,-7.41E-03,-3.70E-03,1.80E-02,2.27E-02,-2.22E-02,-9.12E-03,-5.61E-03,9.84E-03,1.40E-02,-2.37E-02,-1.07E-02,-7.41E-03,44:39.0
8633,5,1.27E-02,1.37E-02,9.63E-03,-1.33E-02,3.70E-04,5.06E-03,4.36E-03,8.44E-03,-0.015169,-1.60E-03,-1.98E-03,-3.97E-03,7.04E-03,-1.67E-02,-0.003333,45:02.4
8634,6,0.018109,2.78E-02,-0.026667,-1.85E-02,-6.30E-03,8.88E-03,1.83E-02,-2.80E-02,-2.03E-02,-8.31E-03,-6.84E-04,6.77E-03,-0.029259,-0.021852,-1.04E-02,45:02.5
8635,8,2.71E-02,3.04E-02,-2.96E-03,5.44E-02,7.41E-04,1.71E-02,1.99E-02,-4.45E-03,5.23E-02,-0.001114,6.73E-03,9.21E-03,-5.93E-03,5.04E-02,-0.003333,46:11.8
8636,7,0.024416,0.031784,-2.11E-02,-7.04E-03,-4.07E-03,0.018258,2.28E-02,-2.22E-02,-9.13E-03,-5.64E-03,1.15E-02,0.014817,-0.023333,-1.07E-02,-7.41E-03,55:08.9
8637,5,1.09E-02,0.012,9.63E-03,-1.33E-02,3.70E-04,4.20E-03,4.23E-03,8.45E-03,-0.015183,-1.61E-03,-2.15E-03,-3.43E-03,7.04E-03,-0.017037,-3.70E-03,55:33.0
8638,6,0.017429,2.83E-02,-0.026667,-0.018889,-6.67E-03,8.93E-03,1.86E-02,-2.80E-02,-2.04E-02,-0.008286,0.000224,7.13E-03,-0.029259,-2.22E-02,-0.01,55:33.2
8639,8,2.51E-02,3.36E-02,-2.96E-03,5.41E-02,7.41E-04,1.61E-02,0.019892,-4.45E-03,0.052356,-0.001124,6.31E-03,8.15E-03,-5.93E-03,5.04E-02,-2.96E-03,56:40.4
8640,7,0.028367,3.02E-02,-2.07E-02,-7.41E-03,-3.70E-03,1.82E-02,0.022466,-2.22E-02,-9.13E-03,-5.62E-03,0.010201,0.014229,-2.37E-02,-1.07E-02,-7.41E-03,05:38.9
8641,5,0.011504,1.36E-02,9.63E-03,-1.33E-02,3.70E-04,4.61E-03,4.30E-03,8.44E-03,-1.52E-02,-1.61E-03,-5.27E-03,-3.30E-03,7.04E-03,-1.67E-02,-0.003333,06:03.6
8642,6,0.017901,2.82E-02,-0.026667,-1.85E-02,-6.67E-03,8.62E-03,1.89E-02,-2.80E-02,-0.020346,-8.30E-03,-5.66E-04,7.70E-03,-0.029259,-0.021852,-0.01,06:03.8
8643,8,0.025797,3.31E-02,-2.96E-03,5.41E-02,7.41E-04,1.69E-02,2.14E-02,-0.00445,5.23E-02,-1.13E-03,7.52E-03,9.89E-03,-5.93E-03,5.04E-02,-2.96E-03,07:08.9
